0,0.00806
2.00E-08,0.00403
4.00E-08,0.00403
6.00E-08,0.012085
8.00E-08,0.00806
1.00E-07,0.00403
1.20E-07,0.00806
1.40E-07,0.00403
1.60E-07,0.00806
1.80E-07,0.00403
2.00E-07,0.00403
2.20E-07,0.00806
2.40E-07,0.012085
2.60E-07,0.00403
2.80E-07,0.00403
3.00E-07,0.012085
3.20E-07,0.00403
3.40E-07,0.00806
3.60E-07,0.00403
3.80E-07,0.012085
4.00E-07,0.012085
4.20E-07,0.00403
4.40E-07,0.00806
4.60E-07,0.00403
4.80E-07,0.012085
5.00E-07,0.00403
5.20E-07,0.012085
5.40E-07,0.00806
5.60E-07,0.00403
5.80E-07,0.012085
6.00E-07,0.012085
6.20E-07,0.00806
6.40E-07,0.012085
6.60E-07,0.00806
6.80E-07,0.012085
7.00E-07,0.00806
7.20E-07,0.012085
7.40E-07,0.00806
7.60E-07,0.012085
7.80E-07,0.00403
8.00E-07,0.00403
8.20E-07,0.012085
8.40E-07,0.012085
8.60E-07,0.00403
8.80E-07,0.012085
9.00E-07,0.00403
9.20E-07,0.00403
9.40E-07,0.012085
9.60E-07,0.00403
9.80E-07,0.012085
1.00E-06,0.00403
1.02E-06,0.012085
1.04E-06,0.00403
1.06E-06,0.00806
1.08E-06,0.00403
1.10E-06,0.012085
1.12E-06,0.00403
1.14E-06,0.00806
1.16E-06,0.00403
1.18E-06,0.00806
1.20E-06,0.00806
1.22E-06,0.00403
1.24E-06,0.00806
1.26E-06,0.00403
1.28E-06,0.00806
1.30E-06,0.00403
1.32E-06,0.00403
1.34E-06,0.00806
1.36E-06,0.00806
1.38E-06,0.00403
1.40E-06,0.00806
1.42E-06,0.00403
1.44E-06,0.00806
1.46E-06,0.00403
1.48E-06,0.00403
1.50E-06,0.00806
1.52E-06,0.00806
1.54E-06,0.00403
1.56E-06,0.00403
1.58E-06,0.00806
1.60E-06,0.00806
1.62E-06,0.00403
1.64E-06,0.00806
1.66E-06,0
1.68E-06,0
1.70E-06,0.00806
1.72E-06,0.00403
1.74E-06,0.00806
1.76E-06,0.00403
1.78E-06,0.00806
1.80E-06,0
1.82E-06,0.00806
1.84E-06,0.00806
1.86E-06,0
1.88E-06,0
1.90E-06,0.00806
1.92E-06,0
1.94E-06,0.00806
1.96E-06,0.00806
1.98E-06,0
2.00E-06,0
2.02E-06,0.00806
2.04E-06,0.00806
2.06E-06,0
2.08E-06,0.00403
2.10E-06,0
2.12E-06,0.00403
2.14E-06,0
2.16E-06,0
2.18E-06,0.00403
2.20E-06,0
2.22E-06,0.00403
2.24E-06,0.00403
2.26E-06,0
2.28E-06,0.00403
2.30E-06,0
2.32E-06,0
2.34E-06,0.00403
2.36E-06,0
2.38E-06,0.00403
2.40E-06,0
2.42E-06,0.00403
2.44E-06,0
2.46E-06,0.00403
2.48E-06,0.00403
2.50E-06,0
2.52E-06,0
2.54E-06,0
2.56E-06,0
2.58E-06,0.00403
2.60E-06,0
2.62E-06,0.00403
2.64E-06,0.00403
2.66E-06,0
2.68E-06,0
2.70E-06,0.00403
2.72E-06,-0.003906
2.74E-06,0.00403
2.76E-06,-0.003906
2.78E-06,0.00403
2.80E-06,0.00403
2.82E-06,-0.003906
2.84E-06,0.00403
2.86E-06,0
2.88E-06,0.00403
2.90E-06,-0.003906
2.92E-06,-0.003906
2.94E-06,0
2.96E-06,-0.003906
2.98E-06,0
3.00E-06,-0.003906
3.02E-06,0.00403
3.04E-06,0.00403
3.06E-06,-0.003906
3.08E-06,-0.003906
3.10E-06,0.00403
3.12E-06,0
